cms_certification_number,association_date,owners,pcts,combo_key
,2021-11-17,"ONSON, JOHN | ONSON, JOHN | ONSON, JOHN | RUDD, LEVI | RUDD, LEVI | RUDD, LEVI",50% | 50% | 50% | 50% | 50% | 50%,"ONSON, JOHN | ONSON, JOHN | ONSON, JOHN | RUDD, LEVI | RUDD, LEVI | RUDD, LEVI||50% | 50% | 50% | 50% | 50% | 50%"
,2021-11-19,DAC ACQUISITION LLC | DAC ACQUISITION LLC,NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,DAC ACQUISITION LLC | DAC ACQUISITION LLC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED
,2021-11-24,"BHCP OK4 HH-H INVESTORS, LLC | BHCP OK4 HH-H INVESTORS, LLC | BHCP OK4 HH-H SPONSOR, LLC | BHCP OK4 HH-H SPONSOR, LLC | HOLDCO MM MCALESTER, OK, LLC | HOLDCO MM MCALESTER, OK, LLC",95% | 95% | 5% | 5% | 100% | 100%,"BHCP OK4 HH-H INVESTORS, LLC | BHCP OK4 HH-H INVESTORS, LLC | BHCP OK4 HH-H SPONSOR, LLC | BHCP OK4 HH-H SPONSOR, LLC | HOLDCO MM MCALESTER, OK, LLC | HOLDCO MM MCALESTER, OK, LLC||95% | 95% | 5% | 5% | 100% | 100%"
,2021-11-30,"MARKOWITZ, ALAN",100%,"MARKOWITZ, ALAN||100%"
,2021-12-01,"ACCORDIUS SNF HOLDCO LLC | ACCORDIUS SNF HOLDCO LLC | ACCORDIUS SNF HOLDCO LLC | ACCORDIUS SNF HOLDCO LLC | ALG LAVIE, LLC | BOOKER HOSPITAL DISTRICT | CLEARVIEW KY SNF HOLDCO LLC | ECKERT-RUTHERFORD, CINDY | EPSILON HEALTH CARE PROPERTIES LLC | FC INVESTORS XXI, LLC | FLORIDA HEALTH CARE PROPERTIES LLC | GENOA HEALTHCARE GROUP LLC | HC FAMILY TRUST | HC FAMILY TRUST | HC FAMILY TRUST | HC FAMILY TRUST | HC FAMILY TRUST | KUHNASH, CATHY | KURLAND, BENJAMIN | KY M53 SPE OPCO HOLDCO LLC | LAVIE CARE CENTERS, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE MORNING, LLC | LV INVESTMENT, LLC | LV OPERATIONS I, LLC | LV OPERATIONS II, LLC | MC M53 SPE OPCO HOLDCO | MC M53 SPE OPCO HOLDCO | MCP LAVIE, LLC | MORROW, KIMBERLY | MORROW, KIMBERLY | MORROW, KIMBERLY | PLANTATION MANAGEMENT COMPANY, LLC | PLANTATION MANAGEMENT COMPANY, LLC | QSST TRUST FOR GENE OLIVER QUIRK III | QSST TRUST FOR MARSHALL TODD QUIRK | QSST TRUST FOR MARSHALL TODD QUIRK | QSST TRUST FOR SCOTT HOLDEN QUIRK | SAY LA VIE, LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SWEET HOME MANAGEMENT LLC | THE ADINA COHEN 2021 IRREVOCABLE GIFT TRUST NO 2 | THE BEN MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE CHAIM MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE JANET MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE JANET MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE YITZCHOK MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | WYNCOTE LLC | WYNCOTE LLC | WYNCOTE LLC | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST",100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | 50% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 50% | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 50% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 20% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"ACCORDIUS SNF HOLDCO LLC | ACCORDIUS SNF HOLDCO LLC | ACCORDIUS SNF HOLDCO LLC | ACCORDIUS SNF HOLDCO LLC | ALG LAVIE, LLC | BOOKER HOSPITAL DISTRICT | CLEARVIEW KY SNF HOLDCO LLC | ECKERT-RUTHERFORD, CINDY | EPSILON HEALTH CARE PROPERTIES LLC | FC INVESTORS XXI, LLC | FLORIDA HEALTH CARE PROPERTIES LLC | GENOA HEALTHCARE GROUP LLC | HC FAMILY TRUST | HC FAMILY TRUST | HC FAMILY TRUST | HC FAMILY TRUST | HC FAMILY TRUST | KUHNASH, CATHY | KURLAND, BENJAMIN | KY M53 SPE OPCO HOLDCO LLC | LAVIE CARE CENTERS, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE HOLDCO, LLC | LAVIE MORNING, LLC | LV INVESTMENT, LLC | LV OPERATIONS I, LLC | LV OPERATIONS II, LLC | MC M53 SPE OPCO HOLDCO | MC M53 SPE OPCO HOLDCO | MCP LAVIE, LLC | MORROW, KIMBERLY | MORROW, KIMBERLY | MORROW, KIMBERLY | PLANTATION MANAGEMENT COMPANY, LLC | PLANTATION MANAGEMENT COMPANY, LLC | QSST TRUST FOR GENE OLIVER QUIRK III | QSST TRUST FOR MARSHALL TODD QUIRK | QSST TRUST FOR MARSHALL TODD QUIRK | QSST TRUST FOR SCOTT HOLDEN QUIRK | SAY LA VIE, LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SHNZ HOLDINGS LLC | SWEET HOME MANAGEMENT LLC | THE ADINA COHEN 2021 IRREVOCABLE GIFT TRUST NO 2 | THE BEN MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE CHAIM MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE JANET MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE JANET MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | THE YITZCHOK MANDELBAUM 2021 IRREVOCABLE GIFT TRUST NO 2 | WYNCOTE LLC | WYNCOTE LLC | WYNCOTE LLC | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST | ZANZIPER FAMILY TRUST||100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | 50% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 50% | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 50% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 20% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2021-12-09,"BDCC CONSUTKING GROUP LLC | BDCC CONSUTKING GROUP LLC | BDCC CONSUTKING GROUP LLC | BDCC CONSUTKING GROUP LLC | DAVID, ROCHEL | DAVID, ROCHEL | DAVID, ROCHEL | DAVID, ROCHEL | DAVID, ROCHEL | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FRIEDMAN, LEAH | FRIEDMAN, LEAH | FRIEDMAN, LEAH | FRIEDMAN, LEAH | FRIEDMAN, LEAH | JZ CONSULTING LLC | JZ CONSULTING LLC | JZ CONSULTING LLC | JZ CONSULTING LLC | JZ CONSULTING LLC | LAKE CITY OPERATING HOLDINGS LLC | LAKE CITY OPERATING HOLDINGS LLC | POWERS, BRIAN | POWERS, BRIAN | POWERS, BRIAN | POWERS, BRIAN | POWERS, BRIAN | RUBENSTEIN, DAVID | RUBENSTEIN, DAVID | RUBENSTEIN, DAVID | RUBENSTEIN, DAVID | RUBINSTEIN, DAVID | RUBIWEB FLORIDA SERVICES GROUP USA LLC | RUBIWEB FLORIDA SERVICES GROUP USA LLC | RUBIWEB FLORIDA SERVICES GROUP USA LLC | RUBIWEB FLORIDA SERVICES GROUP USA LLC | WEBER, ARON | WEBER, ARON | WEBER, ARON | WEBER, ARON | WEBER, ARON | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, JACOB | ZAHLER, JACOB | ZAHLER, JACOB | ZAHLER, JACOB",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"BDCC CONSUTKING GROUP LLC | BDCC CONSUTKING GROUP LLC | BDCC CONSUTKING GROUP LLC | BDCC CONSUTKING GROUP LLC | DAVID, ROCHEL | DAVID, ROCHEL | DAVID, ROCHEL | DAVID, ROCHEL | DAVID, ROCHEL | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FDZ CONSULTING LLC | FRIEDMAN, LEAH | FRIEDMAN, LEAH | FRIEDMAN, LEAH | FRIEDMAN, LEAH | FRIEDMAN, LEAH | JZ CONSULTING LLC | JZ CONSULTING LLC | JZ CONSULTING LLC | JZ CONSULTING LLC | JZ CONSULTING LLC | LAKE CITY OPERATING HOLDINGS LLC | LAKE CITY OPERATING HOLDINGS LLC | POWERS, BRIAN | POWERS, BRIAN | POWERS, BRIAN | POWERS, BRIAN | POWERS, BRIAN | RUBENSTEIN, DAVID | RUBENSTEIN, DAVID | RUBENSTEIN, DAVID | RUBENSTEIN, DAVID | RUBINSTEIN, DAVID | RUBIWEB FLORIDA SERVICES GROUP USA LLC | RUBIWEB FLORIDA SERVICES GROUP USA LLC | RUBIWEB FLORIDA SERVICES GROUP USA LLC | RUBIWEB FLORIDA SERVICES GROUP USA LLC | WEBER, ARON | WEBER, ARON | WEBER, ARON | WEBER, ARON | WEBER, ARON | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, CHAIM | ZAHLER, JACOB | ZAHLER, JACOB | ZAHLER, JACOB | ZAHLER, JACOB||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2021-12-13,CHAD M. UNVERFERTH 12-14-11 IRRV GRANTOR TR | DAVID V. UNVERFERTH 12-14-11 IRRV GRANTOR TR | JEFFREY L. UNVERFERTH 12-14-11 IRRV GRANTOR TR | JOANN C. UNVERFERTH 12-29-04 REVOCABLE TRUST | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KENDRA M. U | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KERRI A. RO | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KEVAN R. UN | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KRISTEN S. | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KYLE J. UNV | JOSEPH L. UNVERFERTH 12-15-11 IRRV GRANTOR TR | LAWRENCE G. UNVERFERTH 12-13-11 IRRV GRANTOR TR | R. STEVEN UNVERFERTH 12-14-11 IRRV GRANTOR TR,NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,CHAD M. UNVERFERTH 12-14-11 IRRV GRANTOR TR | DAVID V. UNVERFERTH 12-14-11 IRRV GRANTOR TR | JEFFREY L. UNVERFERTH 12-14-11 IRRV GRANTOR TR | JOANN C. UNVERFERTH 12-29-04 REVOCABLE TRUST | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KENDRA M. U | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KERRI A. RO | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KEVAN R. UN | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KRISTEN S. | JOANN C. UNVERFERTH 12-31-12 IRREVOCABLE GRANTOR TRUST FBO KYLE J. UNV | JOSEPH L. UNVERFERTH 12-15-11 IRRV GRANTOR TR | LAWRENCE G. UNVERFERTH 12-13-11 IRRV GRANTOR TR | R. STEVEN UNVERFERTH 12-14-11 IRRV GRANTOR TR||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED
,2021-12-23,"MILLER, WILLIAM | MILLER, WILLIAM | MILLER, WILLIAM | MILLER, WILLIAM",NO PERCENTAGE PROVIDED | 5% | 5% | NO PERCENTAGE PROVIDED,"MILLER, WILLIAM | MILLER, WILLIAM | MILLER, WILLIAM | MILLER, WILLIAM||NO PERCENTAGE PROVIDED | 5% | 5% | NO PERCENTAGE PROVIDED"
,2021-12-27,"HCR HEALTHCARE, LLC | HCR II HEALTHCARE, LLC | HCR III HEALTHCARE, LLC | HCR MANORCARE, INC. | LCS HOLDING COMPANY LLC | PROMEDICA HEALTH SYSTEM, INC",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"HCR HEALTHCARE, LLC | HCR II HEALTHCARE, LLC | HCR III HEALTHCARE, LLC | HCR MANORCARE, INC. | LCS HOLDING COMPANY LLC | PROMEDICA HEALTH SYSTEM, INC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2021-12-28,"GIARDINA, JENNIFER | GIARDINA, JENNIFER | JAMES J GIARDINA RVOC LIVING TR RESTATED 07-20-09 | JAMES J GIARDINA RVOC LIVING TR RESTATED 07-20-09 | PHELAN, MELISSA | RCI LEGACY HOLDINGS LLC | REDWOOD HOLDINGS, LLC | WEINER, GINA",5% | 5% | 30% | 30% | 5% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 5%,"GIARDINA, JENNIFER | GIARDINA, JENNIFER | JAMES J GIARDINA RVOC LIVING TR RESTATED 07-20-09 | JAMES J GIARDINA RVOC LIVING TR RESTATED 07-20-09 | PHELAN, MELISSA | RCI LEGACY HOLDINGS LLC | REDWOOD HOLDINGS, LLC | WEINER, GINA||5% | 5% | 30% | 30% | 5% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 5%"
,2021-12-30,"ABERJONA OPERATIONS LLC | BOSTON MASTER TENANT LLC | ERLICHMAN, ARIEL",100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"ABERJONA OPERATIONS LLC | BOSTON MASTER TENANT LLC | ERLICHMAN, ARIEL||100% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,2021-12-31,"GOLDBERG, AYELET | KOHN FAM TR GST EXEMPT UAD 3-25-13 | MALI, HARI | NFR 2020 IRRV TR | OSTROW, ASHIRA | RSBRMK HOLDINGS LLC | SK 2013 DELTA TRUST | TRYKO DELTA HOLDINGS LLC | UAK 2020 IRRV TR | YR 2013 DELTA TR UA 03252013",NOT APPLICABLE | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NOT APPLICABLE | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"GOLDBERG, AYELET | KOHN FAM TR GST EXEMPT UAD 3-25-13 | MALI, HARI | NFR 2020 IRRV TR | OSTROW, ASHIRA | RSBRMK HOLDINGS LLC | SK 2013 DELTA TRUST | TRYKO DELTA HOLDINGS LLC | UAK 2020 IRRV TR | YR 2013 DELTA TR UA 03252013||NOT APPLICABLE | NO PERCENTAGE PROVIDED | 100% | NO PERCENTAGE PROVIDED | NOT APPLICABLE | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
